THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER
209.0,0.0,624.0,662.0,0.0,66.13,-16.51,U
0.0,0.0,607.0,666.0,0.0,65.18,-16.69,U
0.0,0.0,633.0,660.0,0.0,61.4,-20.43,U
0.0,0.0,0.0,650.0,0.0,63.54,-15.73,U
0.0,0.0,601.0,658.0,0.0,59.33,-18.81,U
171.0,66.0,0.0,88.0,0.0,56.89,-31.85,U
172.0,0.0,623.0,653.0,0.0,60.77,-16.0,U
0.0,0.0,613.0,656.0,0.0,61.03,-16.97,U
0.0,0.0,625.0,665.0,0.0,59.56,-20.05,U
0.0,0.0,629.0,661.0,0.0,49.81,-24.36,U
414.0,0.0,624.0,671.0,0.0,63.47,-15.79,U
325.0,0.0,617.0,647.0,0.0,62.02,-20.36,U
0.0,0.0,632.0,660.0,0.0,54.79,-21.97,U
320.0,0.0,625.0,651.0,0.0,59.64,-18.24,U
375.0,0.0,632.0,636.0,0.0,55.1,-17.92,U
219.0,0.0,636.0,648.0,0.0,49.44,-21.85,U
303.0,0.0,420.0,0.0,246.0,61.25,-22.38,U
0.0,0.0,638.0,656.0,0.0,51.83,-23.72,U
0.0,31.0,625.0,645.0,0.0,52.8,-21.07,U
469.0,0.0,617.0,643.0,1.0,46.57,-29.57,U
0.0,0.0,630.0,640.0,218.0,48.23,-24.46,U
0.0,0.0,638.0,655.0,0.0,57.38,-25.47,U
168.0,23.0,0.0,0.0,72.0,38.11,-33.62,U
0.0,0.0,617.0,594.0,0.0,52.04,-22.41,U
0.0,0.0,624.0,663.0,0.0,44.32,-19.64,U
165.0,0.0,604.0,646.0,0.0,41.38,-30.29,U
2.0,2.0,584.0,656.0,0.0,47.62,-25.94,U
0.0,0.0,618.0,650.0,0.0,51.85,-25.48,U
0.0,0.0,630.0,656.0,0.0,52.26,-24.37,U
0.0,0.0,629.0,653.0,0.0,50.28,-28.17,U
206.0,1.0,438.0,471.0,0.0,50.12,-38.27,U
0.0,0.0,50.0,304.0,0.0,45.98,-19.28,U
0.0,178.0,0.0,90.0,0.0,56.77,-26.13,U
0.0,0.0,630.0,657.0,0.0,50.43,-26.71,U
21.0,74.0,536.0,531.0,0.0,59.48,-28.65,U
0.0,0.0,0.0,494.0,0.0,57.19,-26.98,U
0.0,0.0,631.0,653.0,0.0,34.99,-54.17,U
