THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER
0.0,397.0,624.0,661.0,648.0,74.04,-9.62,E
0.0,441.0,626.0,660.0,648.0,74.09,-11.57,E
0.0,613.0,642.0,655.0,653.0,74.18,-9.68,E
0.0,536.0,643.0,663.0,657.0,75.5,-9.7,E
229.0,568.0,615.0,651.0,635.0,75.67,-9.59,E
0.0,541.0,625.0,654.0,648.0,71.13,-10.48,E
0.0,114.0,1.0,268.0,245.0,66.29,-14.53,E
0.0,296.0,600.0,657.0,643.0,81.61,-7.35,E
112.0,541.0,636.0,671.0,657.0,68.18,-8.86,E
0.0,407.0,391.0,124.0,532.0,17.22,-30.1,E
0.0,432.0,544.0,641.0,626.0,73.82,-11.58,E
0.0,279.0,617.0,662.0,638.0,73.4,-10.99,E
