THUMB,INDEX,MIDDLE,HEART,PINKY,X,Y,LETTER,BUTTON
343.0,364.0,577.0,636.0,565.0,81.5,-7.85,I,0
173.0,301.0,583.0,636.0,596.0,81.84,-8.18,I,0
101.0,224.0,599.0,628.0,614.0,81.33,-0.15,I,0
95.0,0.0,0.0,0.0,0.0,58.49,-26.73,I,0
289.0,0.0,561.0,645.0,596.0,73.56,-12.02,I,0
302.0,356.0,577.0,645.0,610.0,81.0,-8.71,I,0
452.0,380.0,581.0,639.0,613.0,85.84,-4.14,I,0
375.0,361.0,585.0,661.0,618.0,78.07,-7.94,I,0
575.0,0.0,584.0,667.0,621.0,71.35,-13.75,I,0
569.0,0.0,588.0,650.0,620.0,66.29,-15.08,I,0
344.0,374.0,574.0,653.0,620.0,72.26,-13.53,I,0
431.0,32.0,637.0,678.0,651.0,75.11,-8.97,I,0
311.0,0.0,652.0,682.0,664.0,74.08,-8.14,I,0
87.0,46.0,461.0,677.0,657.0,74.21,-9.51,I,0
0.0,0.0,606.0,665.0,653.0,73.2,-10.0,I,0
144.0,0.0,472.0,678.0,665.0,72.71,-11.58,I,0
356.0,0.0,645.0,679.0,669.0,69.43,-10.46,I,0
0.0,0.0,651.0,680.0,665.0,67.31,-12.23,I,0
0.0,0.0,642.0,654.0,601.0,64.38,-11.25,I,0
174.0,0.0,628.0,676.0,656.0,69.05,-10.8,I,0
182.0,0.0,649.0,669.0,659.0,68.5,-17.48,I,0
429.0,0.0,647.0,679.0,665.0,68.23,-14.54,I,0
335.0,0.0,638.0,675.0,668.0,70.99,-13.53,I,0
378.0,1.0,594.0,674.0,663.0,72.07,-11.2,I,0
0.0,0.0,656.0,675.0,659.0,68.36,-14.61,I,0
426.0,0.0,650.0,678.0,669.0,72.0,-15.89,I,0
478.0,0.0,632.0,678.0,668.0,70.17,-10.76,I,0
364.0,0.0,454.0,682.0,671.0,68.1,-16.66,I,0
455.0,0.0,645.0,679.0,649.0,65.16,-15.47,I,0
0.0,0.0,1.0,677.0,670.0,63.99,-15.72,I,0
463.0,0.0,635.0,678.0,666.0,60.4,-15.3,I,0
402.0,0.0,624.0,671.0,632.0,58.49,-19.85,I,0
471.0,0.0,635.0,669.0,655.0,57.3,-15.45,I,0
362.0,0.0,642.0,671.0,653.0,59.91,-15.38,I,0
524.0,1.0,641.0,673.0,659.0,60.87,-13.56,I,0
405.0,0.0,631.0,672.0,653.0,58.58,-16.11,I,0
448.0,0.0,457.0,676.0,662.0,57.04,-15.31,I,0
342.0,42.0,617.0,672.0,658.0,58.83,-14.39,I,0
446.0,225.0,615.0,673.0,659.0,53.21,-18.69,I,0
0.0,0.0,613.0,663.0,637.0,70.64,-6.9,I,0
484.0,206.0,638.0,677.0,661.0,59.39,-15.84,I,0
492.0,0.0,617.0,674.0,667.0,58.14,-15.85,I,0
369.0,95.0,581.0,671.0,652.0,54.04,-20.11,I,0
433.0,0.0,641.0,672.0,657.0,55.04,-18.97,I,0
513.0,137.0,621.0,672.0,654.0,54.4,-17.03,I,0
220.0,217.0,644.0,671.0,637.0,55.9,-17.29,I,0
248.0,197.0,638.0,667.0,648.0,52.94,-22.32,I,0
313.0,0.0,633.0,666.0,648.0,61.04,-9.98,I,0
376.0,0.0,615.0,669.0,649.0,59.62,-10.61,I,0
463.0,0.0,607.0,662.0,651.0,50.1,-11.78,I,0
415.0,0.0,618.0,668.0,655.0,55.33,-12.31,I,0
381.0,0.0,640.0,672.0,660.0,58.71,-14.73,I,0
450.0,241.0,632.0,670.0,653.0,55.92,-17.85,I,0
390.0,0.0,624.0,672.0,652.0,59.98,-10.88,I,0
335.0,0.0,631.0,660.0,652.0,56.71,-10.9,I,0
372.0,0.0,621.0,668.0,651.0,58.35,-16.34,I,0
428.0,0.0,623.0,675.0,653.0,58.69,-15.75,I,0
333.0,0.0,629.0,672.0,649.0,62.99,-14.09,I,0
362.0,0.0,626.0,671.0,654.0,63.41,-11.94,I,0
355.0,0.0,617.0,674.0,654.0,57.41,-13.56,I,0
308.0,59.0,626.0,673.0,658.0,62.0,-13.8,I,0
